,location,total_sqft,bath,price,BHK
0,1st Phase JP Nagar,2825.0,4.0,250.0,4
1,1st Phase JP Nagar,1875.0,3.0,167.0,3
2,1st Phase JP Nagar,1500.0,5.0,85.0,5
3,1st Phase JP Nagar,2065.0,4.0,210.0,3
4,1st Phase JP Nagar,2024.0,3.0,157.0,3
5,1st Phase JP Nagar,2059.0,3.0,225.0,3
6,1st Phase JP Nagar,1394.0,2.0,100.0,2
7,1st Phase JP Nagar,1077.0,2.0,93.0,2
8,1st Phase JP Nagar,1566.0,2.0,180.0,2
9,1st Phase JP Nagar,840.0,2.0,50.0,1
10,1st Phase JP Nagar,1590.0,3.0,131.0,3
11,1st Phase JP Nagar,2180.0,3.0,210.0,3
12,1st Phase JP Nagar,1180.0,2.0,88.5,2
13,1st Phase JP Nagar,1200.0,2.0,86.0,2
14,1st Phase JP Nagar,1394.0,2.0,85.0,2
15,1st Phase JP Nagar,2077.0,3.0,175.0,3
16,1st Phase JP Nagar,4550.0,2.0,240.0,4
17,1st Phase JP Nagar,1205.0,2.0,85.0,2
18,1st Phase JP Nagar,2615.0,5.0,222.0,4
19,1st Phase JP Nagar,900.0,2.0,75.0,2
20,5th Phase JP Nagar,1075.0,2.0,60.0,2
21,5th Phase JP Nagar,1150.0,3.0,52.5,2
22,5th Phase JP Nagar,1070.0,2.0,39.0,2
23,5th Phase JP Nagar,1256.0,2.0,62.8,2
24,5th Phase JP Nagar,1207.0,2.0,63.0,2
25,5th Phase JP Nagar,1725.0,2.0,100.0,3
26,5th Phase JP Nagar,1440.0,2.0,60.0,2
27,5th Phase JP Nagar,1400.0,2.0,88.0,3
28,5th Phase JP Nagar,1450.0,2.0,58.0,2
29,5th Phase JP Nagar,1700.0,2.0,100.0,3
30,5th Phase JP Nagar,1485.0,2.0,67.0,3
31,5th Phase JP Nagar,2500.0,5.0,110.0,5
32,5th Phase JP Nagar,600.0,1.0,30.0,1
33,5th Phase JP Nagar,1390.0,2.0,65.0,2
34,5th Phase JP Nagar,1256.0,2.0,62.8,2
35,5th Phase JP Nagar,1220.0,2.0,88.0,2
36,5th Phase JP Nagar,1000.0,2.0,48.0,2
37,5th Phase JP Nagar,1350.0,2.0,75.0,3
38,5th Phase JP Nagar,552.0,1.0,23.5,1
39,5th Phase JP Nagar,1200.0,2.0,51.0,2
40,5th Phase JP Nagar,1240.0,3.0,60.0,3
41,5th Phase JP Nagar,1550.0,3.0,75.0,3
42,5th Phase JP Nagar,1485.0,2.0,66.0,3
43,5th Phase JP Nagar,1030.0,2.0,57.0,2
